GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zanata MT,org.zanata.mt.model.type,BackendIdType,0,46,1,3,0,9,1,7,0,6
Zanata MT,org.zanata.mt.model.type,LocaleIdType,0,21,0,0,0,4,0,3,0,3
Zanata MT,org.zanata.mt.model.type,BackendIdTypeDescriptor,9,46,2,8,2,15,2,9,0,6
Zanata MT,org.zanata.mt.model.type,LocaleIdTypeDescriptor,9,46,2,8,2,15,2,9,0,6
Zanata MT,org.zanata.mt.persistence,EntityManagerProducer,3,0,0,0,2,0,1,0,1,0
Zanata MT,org.zanata.mt.backend.ms,MicrosoftTranslatorClient,11,172,4,8,1,41,4,9,0,7
Zanata MT,org.zanata.mt.backend.ms,MicrosoftTranslatorBackend,7,131,0,4,2,31,0,10,0,8
Zanata MT,org.zanata.mt.backend.ms,MicrosoftRestEasyClient,0,24,0,0,0,9,0,3,0,3
Zanata MT,org.zanata.mt.api,APIConstant,3,0,0,0,2,0,1,0,1,0
Zanata MT,org.zanata.mt.api,InputStreamStreamingOutput,0,24,0,2,0,7,0,3,0,2
Zanata MT,org.zanata.mt.api.service.impl,DocumentContentTranslatorResourceImpl,19,251,4,22,2,63,4,15,0,6
Zanata MT,org.zanata.mt.api.service.impl,BackendResourceImpl,2,110,1,7,1,23,1,7,0,4
Zanata MT,org.zanata.mt.util,DTOUtil,48,105,0,2,11,21,2,6,2,5
Zanata MT,org.zanata.mt.util,HashUtil,9,15,0,0,4,6,1,1,1,1
Zanata MT,org.zanata.mt.util,UrlUtil,0,22,0,2,0,9,0,3,0,2
Zanata MT,org.zanata.mt.util,DomUtil,3,84,0,16,2,13,1,13,1,5
Zanata MT,org.zanata.mt.dao,LocaleDAO,0,56,0,4,0,17,0,6,0,4
Zanata MT,org.zanata.mt.dao,TextFlowTargetDAO,0,9,0,0,0,5,0,2,0,2
Zanata MT,org.zanata.mt.dao,TextFlowDAO,0,33,1,3,0,11,1,4,0,3
Zanata MT,org.zanata.mt.dao,AbstractDAO,0,19,0,0,0,7,0,5,0,5
Zanata MT,org.zanata.mt.dao,DocumentDAO,0,58,1,3,0,18,1,5,0,4
Zanata MT,org.zanata.mt.annotation,SystemPropertyProducer,0,33,0,2,0,8,0,3,0,2
Zanata MT,org.zanata.mt.backend.ms.internal.dto,MSTranslateArrayResponse,27,167,23,21,0,40,18,17,0,13
Zanata MT,org.zanata.mt.backend.ms.internal.dto,MSTranslateArrayReq,20,179,17,27,0,38,13,22,0,13
Zanata MT,org.zanata.mt.backend.ms.internal.dto,MSTranslateArrayResp,10,43,5,5,0,10,4,6,0,5
Zanata MT,org.zanata.mt.backend.ms.internal.dto,MSString,6,49,3,7,0,13,2,9,0,6
Zanata MT,org.zanata.mt.backend.ms.internal.dto,TextSentenceLength,6,49,3,7,0,13,2,9,0,6
Zanata MT,org.zanata.mt.backend.ms.internal.dto,MSTranslateArrayReqOptions,7,222,11,41,0,43,10,31,0,15
Zanata MT,org.zanata.mt.model,Document,17,116,13,13,0,30,10,12,0,9
Zanata MT,org.zanata.mt.model,ModelEntity,0,57,2,6,0,14,2,9,0,7
Zanata MT,org.zanata.mt.model,BackendID,0,41,0,4,0,11,0,8,0,6
Zanata MT,org.zanata.mt.model,TextFlow,15,145,12,14,0,37,9,16,0,12
Zanata MT,org.zanata.mt.model,AugmentedTranslation,11,80,7,11,0,21,5,11,0,7
Zanata MT,org.zanata.mt.model,TextFlowTarget,17,125,13,13,0,33,10,14,0,11
Zanata MT,org.zanata.mt.model,Locale,7,49,4,6,0,15,3,8,0,6
Zanata MT,org.zanata.mt.api.dto,DocumentContent,11,163,6,10,0,38,5,17,0,14
Zanata MT,org.zanata.mt.api.dto,APIErrorResponse,0,62,0,2,0,25,0,13,0,12
Zanata MT,org.zanata.mt.api.dto,LocaleIdAdapter,0,19,0,4,0,7,0,5,0,3
Zanata MT,org.zanata.mt.api.dto,LocaleId,2,126,1,5,1,28,1,11,0,9
Zanata MT,org.zanata.mt.api.dto,TypeString,19,141,14,12,0,32,11,13,0,11
Zanata MT,org.zanata.mt,APISecurityFilter.RestCredentials,4,73,3,5,0,17,3,7,0,6
Zanata MT,org.zanata.mt,APISecurityFilter,5,57,1,3,0,20,1,6,0,5
Zanata MT,org.zanata.mt,ZanataMTApplication,0,16,0,0,0,7,0,3,0,3
Zanata MT,org.zanata.mt,APIResponseFilter,14,82,3,9,3,29,3,9,0,6
Zanata MT,org.zanata.mt.service,PersistentTranslationService,24,289,10,26,5,67,10,14,0,6
Zanata MT,org.zanata.mt.service,ZanataMTStartup,4,90,1,3,2,26,1,6,0,5
Zanata MT,org.zanata.mt.service,DocumentContentTranslatorService,6,222,9,17,0,51,9,12,0,8
Zanata MT,org.zanata.mt.exception,ZanataMTException,0,9,0,0,0,4,0,2,0,2
